PartyNm,PartyAb,PartyGrp
Liberal,LP,lnp
Liberal National Party of Queensland,LNP,lnp
The Nationals,NP,lnp
Country Liberal Party (NT),CLP,lnp
Australian Labor Party,ALP,alp
Centre Alliance,XEN,oth
Katter's Australian Party (KAP),KAP,oth
The Greens,GRN,grn
United Australia Party,UAPP,uap
Independent,IND,ind
Pauline Hanson's One Nation,ON,phon
Liberal Democratic Party,LDP,oth
Australian Federation Party,CYA,oth
Animal Justice Party,AJP,oth
Informed Medical Options Party,IMO,oth
The Great Australian Party,GAP,oth
WESTERN AUSTRALIA PARTY,WAP,oth
Victorian Socialists,VNS,oth
Australian Christians,AUC,oth
"FUSION: Science, Pirate, Secular, Climate Emergency",SOPA,oth
Australian Citizens Party,CEC,oth
TNL,TNL,oth
Derryn Hinch's Justice Party,DHJP,oth
Socialist Alliance,SAL,oth
Australian Values Party,AUVA,oth
Jacqui Lambie Network,JLN,oth
"Shooters, Fishers and Farmers Party",ASP,oth
Indigenous - Aboriginal Party of Australia,IAP,oth
Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,oth
Australian Progressives,AUP,oth
Drew Pavlou Democratic Alliance,DPDA,oth
The Local Party of Australia,TLOC,oth
Australian Democrats,AUD,oth
Legalise Cannabis Australia,HMP,oth
Reason Australia,REAS,oth
Non Affiliated,NAFD,oth
Informal,INF,inf